variable,scenario,period,stat,granularity,n_districts,country_value_raw,country_value_conv,description
cwd,ssp245,2080-2099,mean,district,22,9.74,9.74,Annual max consecutive wet days
cwd,ssp245,2080-2099,p10,district,22,8.35,8.35,Annual max consecutive wet days
cwd,ssp245,2080-2099,p90,district,22,12.18,12.18,Annual max consecutive wet days
cwd,ssp585,2080-2099,mean,district,22,8.73,8.73,Annual max consecutive wet days
cwd,ssp585,2080-2099,p10,district,22,7.54,7.54,Annual max consecutive wet days
cwd,ssp585,2080-2099,p90,district,22,11.69,11.69,Annual max consecutive wet days
rx5day,historical,1995-2014,mean,district,22,50.16,50.16,Annual max 5-day precipitation total (flood proxy)
rx5day,historical,1995-2014,p10,district,22,39.12,39.12,Annual max 5-day precipitation total (flood proxy)
rx5day,historical,1995-2014,p90,district,22,63.38,63.38,Annual max 5-day precipitation total (flood proxy)
rx5day,ssp245,2040-2059,mean,district,22,53.25,53.25,Annual max 5-day precipitation total (flood proxy)
rx5day,ssp245,2040-2059,p10,district,22,40.77,40.77,Annual max 5-day precipitation total (flood proxy)
rx5day,ssp245,2040-2059,p90,district,22,67.59,67.59,Annual max 5-day precipitation total (flood proxy)
rx5day,ssp585,2040-2059,mean,district,22,52.99,52.99,Annual max 5-day precipitation total (flood proxy)
rx5day,ssp585,2040-2059,p10,district,22,40.36,40.36,Annual max 5-day precipitation total (flood proxy)
rx5day,ssp585,2040-2059,p90,district,22,69.55,69.55,Annual max 5-day precipitation total (flood proxy)
rx5day,ssp245,2080-2099,mean,district,22,53.3,53.3,Annual max 5-day precipitation total (flood proxy)
rx5day,ssp245,2080-2099,p10,district,22,40.66,40.66,Annual max 5-day precipitation total (flood proxy)
rx5day,ssp245,2080-2099,p90,district,22,69.44,69.44,Annual max 5-day precipitation total (flood proxy)
rx5day,ssp585,2080-2099,mean,district,22,54.22,54.22,Annual max 5-day precipitation total (flood proxy)
rx5day,ssp585,2080-2099,p10,district,22,40.68,40.68,Annual max 5-day precipitation total (flood proxy)
rx5day,ssp585,2080-2099,p90,district,22,72.83,72.83,Annual max 5-day precipitation total (flood proxy)
rx1day,historical,1995-2014,mean,district,22,22.38,22.38,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
rx1day,historical,1995-2014,p10,district,22,16.97,16.97,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
rx1day,historical,1995-2014,p90,district,22,28.95,28.95,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
rx1day,ssp245,2040-2059,mean,district,22,24.06,24.06,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
rx1day,ssp245,2040-2059,p10,district,22,17.78,17.78,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
rx1day,ssp245,2040-2059,p90,district,22,31.67,31.67,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
rx1day,ssp585,2040-2059,mean,district,22,24.14,24.14,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
rx1day,ssp585,2040-2059,p10,district,22,17.81,17.81,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
rx1day,ssp585,2040-2059,p90,district,22,32.66,32.66,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
rx1day,ssp245,2080-2099,mean,district,22,24.71,24.71,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
rx1day,ssp245,2080-2099,p10,district,22,18.16,18.16,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
rx1day,ssp245,2080-2099,p90,district,22,32.86,32.86,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
