period,scenario,variety,mean,p10,p50,p90,std
2041-2060,rcp45,Bronner,0.54728097,0.18379321098327636,0.5509839355945587,0.8638589441776275,0.24842413
2041-2060,rcp45,Solaris,0.54728097,0.18379321098327636,0.5509839355945587,0.8638589441776275,0.24842413
2041-2060,rcp45,Touriga Nacional,0.45423904,0.050935526192188274,0.46194350719451904,0.8512332737445831,0.29034957
2041-2060,rcp45,Aglianico,0.26496524,0.0,0.19571063667535782,0.7072896242141725,0.26910493
2041-2060,rcp45,Garnacha,0.20208597,0.0,0.14678297191858292,0.5304672062397005,0.21129325
2041-2060,rcp45,Carignan,0.20208597,0.0,0.14678297191858292,0.5304672062397005,0.21129325
2041-2060,rcp45,Mourvèdre,0.0,0.0,0.0,0.0,0.0
2041-2060,rcp45,Nero d'Avola,0.0,0.0,0.0,0.0,0.0
2061-2080,rcp45,Aletta,0.9632256,0.9073845982551575,0.9794470369815826,0.9994141459465027,0.046944294
2061-2080,rcp45,Zengő,0.95330065,0.885170179605484,0.9760555922985077,0.9989559829235077,0.063169725
2061-2080,rcp45,Blauburger,0.95025516,0.8788947641849518,0.9748494923114777,0.9989717423915863,0.065255575
2061-2080,rcp45,Albariño,0.94467354,0.8821268439292907,0.9776335954666138,0.998986941576004,0.0975853
2061-2080,rcp45,Kövidinka,0.94405025,0.8677144229412079,0.9719671308994293,0.9988089442253113,0.07942163
2061-2080,rcp45,Furmint,0.9425994,0.8598412275314331,0.9719671308994293,0.9988089442253113,0.08163951
2061-2080,rcp45,Kunleány,0.9415525,0.8588885724544525,0.9698991477489471,0.998841518163681,0.08307767
2061-2080,rcp45,Sémillon,0.9406282,0.8515129804611207,0.9719671308994293,0.9988089442253113,0.08522044
2061-2080,rcp45,Gamay,0.9406282,0.8515129804611207,0.9719671308994293,0.9988089442253113,0.08522044
2061-2080,rcp45,Turán,0.9376611,0.8651162326335907,0.9539027512073517,0.9980477511882782,0.07119383
2061-2080,rcp45,Zenit,0.92973584,0.8492917776107788,0.9610226154327393,0.998595941066742,0.086841576
2061-2080,rcp45,Hárslevelű,0.927025,0.8286206126213074,0.9610226154327393,0.998595941066742,0.093150415
2061-2080,rcp45,Zéta,0.927025,0.8286206126213074,0.9610226154327393,0.998595941066742,0.093150415
2061-2080,rcp45,Kabar,0.927025,0.8286206126213074,0.9610226154327393,0.998595941066742,0.093150415
2061-2080,rcp45,Kövérszőlő,0.927025,0.8286206126213074,0.9610226154327393,0.998595941066742,0.093150415
2061-2080,rcp45,Kadarka,0.92698264,0.8286206126213074,0.9610226154327393,0.998595941066742,0.093254715
2061-2080,rcp45,Merlot,0.92698264,0.8286206126213074,0.9610226154327393,0.998595941066742,0.093254715
2061-2080,rcp45,Cabernet franc,0.91571796,0.6696197926998139,0.9685782194137573,0.9986475229263305,0.1285624
2061-2080,rcp45,Vermentino,0.89632696,0.6604199469089508,0.9649748504161835,0.9991417169570923,0.13731024
2061-2080,rcp45,Verdejo,0.89632696,0.6604199469089508,0.9649748504161835,0.9991417169570923,0.13731024
2061-2080,rcp45,Sangiovese,0.89632696,0.6604199469089508,0.9649748504161835,0.9991417169570923,0.13731024
2061-2080,rcp45,Juhfark,0.88897854,0.6556822478771209,0.9610226154327393,0.998595941066742,0.15873373
2061-2080,rcp45,Mészikadar,0.88847023,0.6434907197952271,0.9629494249820709,0.9981381297111511,0.15439367
2061-2080,rcp45,Syrah,0.88704544,0.645278400182724,0.9621173441410065,0.9986823499202728,0.15283194
2061-2080,rcp45,Sárgamuskotály,0.8869358,0.6556098163127899,0.9542827904224396,0.9991871476173401,0.15880235
2061-2080,rcp45,Menoire,0.88483775,0.6434907197952271,0.9629494249820709,0.9981381297111511,0.15519165
2061-2080,rcp45,Kékfrankos,0.8836031,0.6381158947944641,0.9392510056495667,0.9973683297634125,0.16010737
2061-2080,rcp45,Zweigelt,0.8836031,0.6381158947944641,0.9392510056495667,0.9973683297634125,0.16010737
2061-2080,rcp45,Bianca,0.8823269,0.6386822283267974,0.925858199596405,0.9955124497413635,0.13749039
2061-2080,rcp45,Cabernet sauvignon,0.8822101,0.6414555549621582,0.9621173441410065,0.9986823499202728,0.15633738
2061-2080,rcp45,Portugieser,0.8818799,0.6381158947944641,0.9374665021896362,0.9973683297634125,0.15998563
2061-2080,rcp45,Olaszrizling,0.8818799,0.6381158947944641,0.9374665021896362,0.9973683297634125,0.15998563
2061-2080,rcp45,Cabernet Cortis,0.8818799,0.6381158947944641,0.9374665021896362,0.9973683297634125,0.15998563
2061-2080,rcp45,Auxerrois,0.88150954,0.6382140934467315,0.9334128201007843,0.9961521744728088,0.15077135
2061-2080,rcp45,Nektár,0.88150954,0.6382140934467315,0.9334128201007843,0.9961521744728088,0.15077135
2061-2080,rcp45,Vulcanus,0.88150954,0.6382140934467315,0.9334128201007843,0.9961521744728088,0.15077135
2061-2080,rcp45,Zefír,0.88150954,0.6382140934467315,0.9334128201007843,0.9961521744728088,0.15077135
2061-2080,rcp45,Zeus,0.88150954,0.6382140934467315,0.9334128201007843,0.9961521744728088,0.15077135
2061-2080,rcp45,Chardonnay,0.87475777,0.6379717469215394,0.925858199596405,0.9955124497413635,0.15740177
2061-2080,rcp45,Arany sárfehér,0.8709457,0.6377311587333679,0.9173820614814758,0.9945181310176849,0.14541852
2061-2080,rcp45,Kéknyelű,0.86613196,0.6348138928413392,0.9235181212425232,0.9952241539955139,0.1652444
2061-2080,rcp45,Fiano,0.8579625,0.6381493210792542,0.9140700697898865,0.9949950516223908,0.16242282
2061-2080,rcp45,Bíborkadarka,0.8518153,0.5883759498596192,0.9164486825466156,0.9947697997093201,0.17852439
2061-2080,rcp45,Cirfandli,0.84519076,0.5721605837345124,0.9173820614814758,0.9945181310176849,0.20007378
2061-2080,rcp45,Alibernet,0.8447657,0.5883259534835815,0.904554545879364,0.9912845730781555,0.17573921
2061-2080,rcp45,Zalagyöngye,0.84004974,0.5696832835674286,0.878302663564682,0.986508309841156,0.16210268
2061-2080,rcp45,Generosa,0.83509725,0.5614478528499603,0.8797816038131714,0.9811356842517853,0.17031632
2061-2080,rcp45,Cserszegi fűszeres,0.83509725,0.5614478528499603,0.8797816038131714,0.9811356842517853,0.17031632
2061-2080,rcp45,Malbec,0.8339371,0.5258762121200562,0.9095548093318939,0.9943369805812836,0.19317216
