borvidek,variety,n_members,mean,p10,p50,p90,std
Balatonboglári,Zöld veltelíni,14,0.75,0.75,0.75,0.75,0.0
Balatonfelvidéki,Aglianico,14,0.0,0.0,0.0,0.0,0.0
Balatonfelvidéki,Albariño,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Arany sárfehér,14,0.99188316,1.0,1.0,1.0,0.030370599
Balatonfelvidéki,Assyrtiko,14,0.40282154,0.29255896508693696,0.3766941875219345,0.5396076768636704,0.14041856
Balatonfelvidéki,Bianca,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Bronner,14,0.98214287,1.0,1.0,1.0,0.06681531
Balatonfelvidéki,Budai zöld,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Cabernet Cortis,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Cabernet franc,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Cabernet sauvignon,14,0.7617695,0.75,0.75,0.75,0.07223061
Balatonfelvidéki,Carignan,14,0.0,0.0,0.0,0.0,0.0
Balatonfelvidéki,Chardonnay,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Cirfandli,14,0.99188316,1.0,1.0,1.0,0.030370599
Balatonfelvidéki,Cserszegi fűszeres,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Ezerjó,14,0.99188316,1.0,1.0,1.0,0.030370599
Balatonfelvidéki,Fiano,14,0.7375606,0.6675589740276336,0.745870053768158,0.75,0.086653784
Balatonfelvidéki,Furmint,14,0.99188316,1.0,1.0,1.0,0.030370599
Balatonfelvidéki,Garnacha,14,0.0,0.0,0.0,0.0,0.0
Balatonfelvidéki,Generosa,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Hárslevelű,14,0.99188316,1.0,1.0,1.0,0.030370599
Balatonfelvidéki,Irsai Olivér,14,0.98214287,1.0,1.0,1.0,0.06681531
Balatonfelvidéki,Johanniter,14,0.98214287,1.0,1.0,1.0,0.06681531
Balatonfelvidéki,Juhfark,14,0.99188316,1.0,1.0,1.0,0.030370599
Balatonfelvidéki,Kabar,14,0.99188316,1.0,1.0,1.0,0.030370599
Balatonfelvidéki,Kadarka,14,0.99188316,1.0,1.0,1.0,0.030370599
Balatonfelvidéki,Királyleányka,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Kékfrankos,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Kéknyelű,14,0.99188316,1.0,1.0,1.0,0.030370599
Balatonfelvidéki,Kövérszőlő,14,0.99188316,1.0,1.0,1.0,0.030370599
Balatonfelvidéki,Leányka,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Merlot,14,0.99188316,1.0,1.0,1.0,0.030370599
Balatonfelvidéki,Mourvèdre,14,0.0,0.0,0.0,0.0,0.0
Balatonfelvidéki,Muscaris,14,0.98214287,1.0,1.0,1.0,0.06681531
Balatonfelvidéki,Muscat ottonel,14,0.98214287,1.0,1.0,1.0,0.06681531
