year,borvidek,winkler_gdd,huglin_index,spring_frost_days,last_spring_frost_doy,heat_days_t35,extreme_heat_days_t38,growing_season_precip,hargreaves_pet,p_minus_pet,cool_night_index,borregio
1976,Bükki,1127.9750394821167,1596.4189769622956,28.0,123.0,0.0,0.0,457.5918273925781,714.2308771857254,-256.63904979314725,10.272246360778809,Felső-Magyarországi
1976,Csongrádi,1426.3785724639893,1927.3939452976404,22.0,90.0,0.0,0.0,332.557373046875,810.6298793596596,-478.07250631278464,11.031197547912598,Duna
1976,Egri,1203.6344165802002,1704.6924726348593,26.0,123.0,0.0,0.0,418.0449523925781,750.0104096557855,-331.9654572632073,10.22863483428955,Felső-Magyarországi
1976,Etyek-Budai,1300.1043491363525,1793.973085105168,22.0,123.0,0.0,0.0,391.1158752441406,763.9115256101923,-372.79565036605163,10.398953437805176,Felső-Pannon
1976,Hajós-Bajai,1336.4695920944214,1866.0946709038785,25.0,123.0,0.0,0.0,350.8996276855469,815.8252870707471,-464.9256593852002,10.211047172546387,Duna
1976,Kunsági,1367.417851448059,1893.0036825239338,23.0,123.0,0.0,0.0,350.2304382324219,805.3710362715628,-455.14059803914097,10.465598106384277,Duna
1976,Mátrai,1172.6611728668213,1692.5118869609403,28.0,123.0,0.0,0.0,440.2596435546875,761.3486519574797,-321.08900840279216,9.833141326904297,Felső-Magyarországi
1976,Móri,1130.868176460266,1589.2540158181653,25.0,123.0,0.0,0.0,339.3261413574219,722.0213644900691,-382.69522313264724,10.240107536315918,Felső-Pannon
1976,Nagy-Somlói,1233.5130138397217,1725.2879553129908,21.0,123.0,0.0,0.0,351.3550720214844,768.8461652092693,-417.49109318778494,10.015588760375977,Balaton
1976,Neszmélyi,1186.8948726654053,1697.8023122359973,25.0,123.0,0.0,0.0,366.5413818359375,763.1745152176666,-396.63313338172907,9.771467208862305,Felső-Pannon
1976,Pannonhalmi,1235.319323539734,1745.2236043542646,24.0,123.0,0.0,0.0,307.18701171875,772.0551141516834,-464.86810243293337,9.979181289672852,Felső-Pannon
1976,Pécsi,1287.8578481674194,1742.8847115200722,22.0,122.0,0.0,0.0,387.5128173828125,762.8089899789688,-375.29617259615634,10.47844123840332,Pannon
1976,Soproni,1207.5278673171997,1685.536118258073,21.0,123.0,0.0,0.0,385.31134033203125,743.4687534983055,-358.1574131662743,10.075247764587402,Felső-Pannon
1976,Szekszárdi,1342.370005607605,1867.8464729440525,25.0,123.0,0.0,0.0,383.1862487792969,813.6508944440671,-430.4646456647703,10.337994575500488,Pannon
1976,Tokaji,1232.7114877700806,1716.3847290465667,28.0,123.0,0.0,0.0,433.6827087402344,728.176467888254,-294.49375914801965,10.886435508728027,Tokaj
1976,Tolnai,1306.8097286224365,1810.2197826795407,23.0,123.0,0.0,0.0,387.8042297363281,790.4827877691182,-402.6785580327901,10.205704689025879,Pannon
1976,Villányi,1307.9901142120361,1781.146870938261,22.0,122.0,0.0,0.0,374.4200134277344,777.9336339932248,-403.51362056549044,10.719223022460938,Pannon
1976,Zalai,1216.6324319839478,1694.7463269212417,24.0,123.0,0.0,0.0,419.5172424316406,758.8012063884084,-339.2839639567678,10.27804946899414,Balaton
1977,Badacsonyi,1130.431679725647,1577.7848238770823,10.0,111.0,0.0,0.0,330.28009033203125,720.1494337146071,-389.86934338257583,8.193397521972656,Balaton
1977,Balatonboglári,1292.411657333374,1783.9305764556702,9.0,111.0,0.0,0.0,340.8174743652344,771.5119662969806,-430.69449193174626,8.460321426391602,Balaton
1977,Balatonfelvidéki,1196.727258682251,1644.8024213553233,9.0,111.0,0.0,0.0,320.7830505371094,725.1936224358312,-404.41057189872186,8.609786987304688,Balaton
1977,Balatonfüred-Csopaki,1323.711682319641,1777.293355049571,6.0,101.0,0.0,0.0,319.22265625,744.0057264432862,-424.7830701932862,9.083560943603516,Balaton
1977,Bükki,1094.1207313537598,1532.1726476128742,12.0,111.0,0.0,0.0,359.29486083984375,700.944464661543,-341.6496038216992,7.951598167419434,Felső-Magyarországi
1977,Csongrádi,1410.5679502487183,1925.695437460648,9.0,111.0,0.0,0.0,303.515869140625,816.7218994075857,-513.2060302669607,8.896296501159668,Duna
1977,Egri,1156.0484552383423,1629.864975703905,14.0,111.0,0.0,0.0,384.3961486816406,741.5050675663736,-357.10891888473293,8.069075584411621,Felső-Magyarországi
1977,Etyek-Budai,1263.8681049346924,1745.1344077253586,10.0,111.0,0.0,0.0,227.94134521484375,762.5988483621259,-534.6575031472821,8.711297035217285,Felső-Pannon
1977,Hajós-Bajai,1352.2159624099731,1887.9852359832132,10.0,108.0,0.0,0.0,279.8678283691406,822.9527218252023,-543.0848934560616,8.261714935302734,Duna
1977,Kunsági,1342.9677324295044,1865.505482542633,10.0,111.0,0.0,0.0,248.7143096923828,805.467038271498,-556.7527285791152,8.450555801391602,Duna
1977,Mátrai,1139.403694152832,1623.0984756734954,14.0,111.0,0.0,0.0,304.1810302734375,748.5650505073862,-444.3840202339487,8.020830154418945,Felső-Magyarországi
1977,Móri,1118.3777656555176,1558.2231478139822,10.0,111.0,0.0,0.0,248.4671630859375,717.2519742456191,-468.78481115968157,8.360689163208008,Felső-Pannon
1977,Nagy-Somlói,1217.4656133651733,1717.1557972096268,9.0,111.0,0.0,0.0,270.0765075683594,764.3779676849504,-494.301460116591,8.4444580078125,Balaton
1977,Neszmélyi,1163.1689758300781,1633.1044762041836,11.0,111.0,0.0,0.0,289.9300842285156,742.7145007191949,-452.7844164906793,8.061141014099121,Felső-Pannon
1977,Pannonhalmi,1212.2046127319336,1694.907025752244,10.0,111.0,0.0,0.0,252.64849853515625,752.7962934565016,-500.1477949213454,8.492532730102539,Felső-Pannon
1977,Pécsi,1300.3937253952026,1775.677290149301,9.0,103.0,0.0,0.0,298.3302307128906,774.7318443179066,-476.401613605016,8.59695053100586,Pannon
1977,Soproni,1193.3569793701172,1663.295044435953,9.0,111.0,0.0,0.0,343.81085205078125,736.832771203647,-393.02191915286573,9.111570358276367,Felső-Pannon
1977,Szekszárdi,1365.2687692642212,1900.4355286323355,10.0,108.0,0.0,0.0,263.0246887207031,822.7445741110926,-559.7198853903894,8.413440704345703,Pannon
1977,Tokaji,1221.0628595352173,1675.6978164753064,7.0,111.0,0.0,0.0,342.88787841796875,720.2905532884687,-377.40267487049994,8.507271766662598,Tokaj
1977,Tolnai,1316.2322301864624,1825.0595686916834,10.0,111.0,0.0,0.0,271.2452697753906,794.7612876460984,-523.5160178707077,8.371623039245605,Pannon
1977,Villányi,1319.3601036071777,1818.645013189806,9.0,103.0,0.0,0.0,313.4200134277344,792.4085128946493,-478.98849946691496,8.765889167785645,Pannon
1977,Zalai,1215.6321249008179,1706.3055855618093,10.0,111.0,0.0,0.0,334.0849914550781,759.9258736243245,-425.84088216924636,8.184680938720703,Balaton
1978,Badacsonyi,967.859034538269,1411.0501665895747,10.0,132.0,0.0,0.0,462.8996276855469,683.989751777583,-221.09012409203615,9.144651412963867,Balaton
1978,Balatonboglári,1120.1684474945068,1605.2685633272747,6.0,97.0,0.0,0.0,404.45623779296875,733.0942774961751,-328.63803970320635,9.484411239624023,Balaton
1978,Balatonfelvidéki,1026.1221389770508,1472.4457311849658,8.0,132.0,0.0,0.0,453.21392822265625,691.0102889452905,-237.7963607226343,9.3928804397583,Balaton
1978,Balatonfüred-Csopaki,1155.617672920227,1603.2871864076626,5.0,97.0,0.0,0.0,413.5262145996094,705.6912413096252,-292.1650267100158,10.169923782348633,Balaton
1978,Bükki,927.0499410629272,1343.049601590018,17.0,133.0,0.0,0.0,484.4305114746094,659.7030172409947,-175.27250576638528,8.496210098266602,Felső-Magyarországi
1978,Csongrádi,1235.783697128296,1731.4748149139366,12.0,133.0,0.0,0.0,434.5264587402344,769.22598123759,-334.6995224973556,10.032380104064941,Duna
1978,Egri,985.409366607666,1439.3533246412321,18.0,133.0,0.0,0.0,428.4304504394531,696.5773694549507,-268.1469190154976,8.645601272583008,Felső-Magyarországi
1978,Etyek-Budai,1102.5905809402466,1572.5227133256278,11.0,100.0,0.0,0.0,367.8631591796875,721.1612086920545,-353.298049512367,9.668350219726562,Felső-Pannon
1978,Hajós-Bajai,1194.3399391174316,1711.4599507339444,15.0,133.0,0.0,0.0,342.4204406738281,781.861767453663,-439.44132677983487,9.714591026306152,Duna
1978,Kunsági,1164.512993812561,1663.9151984248697,13.0,133.0,0.0,0.0,391.81561279296875,757.3148062735946,-365.4991934806259,9.683745384216309,Duna
