borvidek,horizon_label,period,scenario,emissions_level,rank,variety,variety_en,colour,future_suitability,delta_vs_1991_2020,confidence,limiting_factor,status,huglin_mean,winkler_mean
Etyek-Budai,≈ +40y (2061–2080),2061-2080,rcp45,moderate,2,Aglianico,Aglianico,red,1.0,0.688,medium,huglin,new,2430.0,1897.0
Etyek-Budai,≈ +40y (2061–2080),2061-2080,rcp45,moderate,3,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.4,high,huglin,new,2430.0,1897.0
Etyek-Budai,≈ +40y (2061–2080),2061-2080,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.4,high,huglin,new,2430.0,1897.0
Etyek-Budai,≈ +40y (2061–2080),2061-2080,rcp85,high,1,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2604.0,2115.0
Etyek-Budai,≈ +40y (2061–2080),2061-2080,rcp85,high,2,Nero d'Avola,Nero d'Avola,red,1.0,1.0,medium,huglin,new,2604.0,2115.0
Etyek-Budai,≈ +40y (2061–2080),2061-2080,rcp85,high,3,Garnacha,Grenache,red,1.0,0.992,medium,huglin,new,2604.0,2115.0
Etyek-Budai,≈ +40y (2061–2080),2061-2080,rcp85,high,4,Assyrtiko,Assyrtiko,white,1.0,0.792,medium,huglin,new,2604.0,2115.0
Etyek-Budai,≈ +60y (2081–2100),2081-2100,rcp45,moderate,1,Mourvèdre,Mourvèdre / Monastrell,red,1.0,1.0,medium,huglin,new,2506.0,1946.0
Etyek-Budai,≈ +60y (2081–2100),2081-2100,rcp45,moderate,2,Nero d'Avola,Nero d'Avola,red,1.0,1.0,medium,huglin,new,2506.0,1946.0
Etyek-Budai,≈ +60y (2081–2100),2081-2100,rcp45,moderate,3,Garnacha,Grenache,red,1.0,0.992,medium,huglin,new,2506.0,1946.0
Etyek-Budai,≈ +60y (2081–2100),2081-2100,rcp45,moderate,4,Assyrtiko,Assyrtiko,white,1.0,0.792,medium,huglin,new,2506.0,1946.0
Etyek-Budai,≈ +60y (2081–2100),2081-2100,rcp85,high,1,Mourvèdre,Mourvèdre / Monastrell,red,0.836,0.836,medium,heat,new,2833.0,2331.0
Etyek-Budai,≈ +60y (2081–2100),2081-2100,rcp85,high,2,Nero d'Avola,Nero d'Avola,red,0.836,0.836,medium,heat,new,2833.0,2331.0
Etyek-Budai,≈ +60y (2081–2100),2081-2100,rcp85,high,3,Garnacha,Grenache,red,0.836,0.828,medium,heat,new,2833.0,2331.0
Etyek-Budai,≈ +60y (2081–2100),2081-2100,rcp85,high,4,Assyrtiko,Assyrtiko,white,0.836,0.628,medium,heat,new,2833.0,2331.0
Hajós-Bajai,Near term (2021–2040),2021-2040,rcp45,moderate,1,Sangiovese,Sangiovese,red,0.879,0.18,high,heat,new,2411.0,1796.0
Hajós-Bajai,Near term (2021–2040),2021-2040,rcp45,moderate,2,Vermentino,Vermentino,white,0.879,0.18,medium,heat,new,2411.0,1796.0
Hajós-Bajai,Near term (2021–2040),2021-2040,rcp45,moderate,3,Fiano,Fiano,white,0.879,0.18,medium,heat,new,2411.0,1796.0
Hajós-Bajai,Near term (2021–2040),2021-2040,rcp45,moderate,4,Verdejo,Verdejo,white,0.879,0.18,medium,heat,new,2411.0,1796.0
Hajós-Bajai,Near term (2021–2040),2021-2040,rcp85,high,1,Sangiovese,Sangiovese,red,1.0,0.302,high,huglin,new,2361.0,1762.0
Hajós-Bajai,Near term (2021–2040),2021-2040,rcp85,high,2,Cabernet sauvignon,Cabernet Sauvignon,red,0.936,0.457,high,frost,expand,2361.0,1762.0
Hajós-Bajai,Near term (2021–2040),2021-2040,rcp85,high,3,Syrah,Syrah,red,0.936,0.457,high,frost,new,2361.0,1762.0
Hajós-Bajai,Near term (2021–2040),2021-2040,rcp85,high,4,Vermentino,Vermentino,white,1.0,0.302,medium,huglin,new,2361.0,1762.0
Hajós-Bajai,≈ +20y (2041–2060),2041-2060,rcp45,moderate,1,Touriga Nacional,Touriga Nacional,red,0.925,0.445,medium,frost,new,2496.0,1902.0
Hajós-Bajai,≈ +20y (2041–2060),2041-2060,rcp45,moderate,2,Syrah,Syrah,red,0.808,0.329,high,heat,new,2496.0,1902.0
Hajós-Bajai,≈ +20y (2041–2060),2041-2060,rcp45,moderate,3,Tempranillo,Tempranillo,red,0.808,0.329,medium,heat,new,2496.0,1902.0
Hajós-Bajai,≈ +20y (2041–2060),2041-2060,rcp45,moderate,4,Aglianico,Aglianico,red,0.808,0.329,medium,heat,new,2496.0,1902.0
Hajós-Bajai,≈ +20y (2041–2060),2041-2060,rcp85,high,1,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.52,high,huglin,expand,2328.0,1791.0
Hajós-Bajai,≈ +20y (2041–2060),2041-2060,rcp85,high,2,Syrah,Syrah,red,1.0,0.52,high,huglin,new,2328.0,1791.0
Hajós-Bajai,≈ +20y (2041–2060),2041-2060,rcp85,high,3,Merlot,Merlot,red,1.0,0.361,high,huglin,new,2328.0,1791.0
Hajós-Bajai,≈ +20y (2041–2060),2041-2060,rcp85,high,4,Tempranillo,Tempranillo,red,1.0,0.52,medium,huglin,new,2328.0,1791.0
Hajós-Bajai,≈ +40y (2061–2080),2061-2080,rcp45,moderate,1,Mourvèdre,Mourvèdre / Monastrell,red,0.969,0.915,medium,heat,new,2554.0,1979.0
Hajós-Bajai,≈ +40y (2061–2080),2061-2080,rcp45,moderate,2,Nero d'Avola,Nero d'Avola,red,0.969,0.915,medium,heat,new,2554.0,1979.0
Hajós-Bajai,≈ +40y (2061–2080),2061-2080,rcp45,moderate,3,Garnacha,Grenache,red,0.969,0.755,medium,heat,new,2554.0,1979.0
Hajós-Bajai,≈ +40y (2061–2080),2061-2080,rcp45,moderate,4,Assyrtiko,Assyrtiko,white,0.969,0.65,medium,heat,new,2554.0,1979.0
Hajós-Bajai,≈ +40y (2061–2080),2061-2080,rcp85,high,1,Mourvèdre,Mourvèdre / Monastrell,red,0.9,0.846,medium,heat,new,2742.0,2211.0
Hajós-Bajai,≈ +40y (2061–2080),2061-2080,rcp85,high,2,Nero d'Avola,Nero d'Avola,red,0.9,0.846,medium,heat,new,2742.0,2211.0
Hajós-Bajai,≈ +40y (2061–2080),2061-2080,rcp85,high,3,Garnacha,Grenache,red,0.9,0.686,medium,heat,new,2742.0,2211.0
Hajós-Bajai,≈ +40y (2061–2080),2061-2080,rcp85,high,4,Assyrtiko,Assyrtiko,white,0.9,0.58,medium,heat,new,2742.0,2211.0
Hajós-Bajai,≈ +60y (2081–2100),2081-2100,rcp45,moderate,1,Mourvèdre,Mourvèdre / Monastrell,red,1.0,0.946,medium,huglin,new,2634.0,2035.0
Hajós-Bajai,≈ +60y (2081–2100),2081-2100,rcp45,moderate,2,Nero d'Avola,Nero d'Avola,red,1.0,0.946,medium,huglin,new,2634.0,2035.0
Hajós-Bajai,≈ +60y (2081–2100),2081-2100,rcp45,moderate,3,Garnacha,Grenache,red,1.0,0.786,medium,huglin,new,2634.0,2035.0
Hajós-Bajai,≈ +60y (2081–2100),2081-2100,rcp45,moderate,4,Syrah,Syrah,red,0.997,0.517,high,heat,new,2634.0,2035.0
Hajós-Bajai,≈ +60y (2081–2100),2081-2100,rcp85,high,1,Mourvèdre,Mourvèdre / Monastrell,red,0.575,0.521,medium,heat,new,2918.0,2374.0
Hajós-Bajai,≈ +60y (2081–2100),2081-2100,rcp85,high,2,Nero d'Avola,Nero d'Avola,red,0.575,0.521,medium,heat,new,2918.0,2374.0
Hajós-Bajai,≈ +60y (2081–2100),2081-2100,rcp85,high,3,Garnacha,Grenache,red,0.575,0.361,medium,heat,new,2918.0,2374.0
Hajós-Bajai,≈ +60y (2081–2100),2081-2100,rcp85,high,4,Assyrtiko,Assyrtiko,white,0.575,0.255,medium,heat,new,2918.0,2374.0
Kunsági,Near term (2021–2040),2021-2040,rcp45,moderate,1,Sangiovese,Sangiovese,red,1.0,0.25,high,huglin,new,2393.0,1782.0
Kunsági,Near term (2021–2040),2021-2040,rcp45,moderate,2,Vermentino,Vermentino,white,1.0,0.25,medium,huglin,new,2393.0,1782.0
Kunsági,Near term (2021–2040),2021-2040,rcp45,moderate,3,Fiano,Fiano,white,1.0,0.25,medium,huglin,new,2393.0,1782.0
Kunsági,Near term (2021–2040),2021-2040,rcp45,moderate,4,Verdejo,Verdejo,white,1.0,0.25,medium,huglin,new,2393.0,1782.0
Kunsági,Near term (2021–2040),2021-2040,rcp85,high,1,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.455,high,huglin,new,2345.0,1753.0
Kunsági,Near term (2021–2040),2021-2040,rcp85,high,2,Syrah,Syrah,red,1.0,0.455,high,huglin,new,2345.0,1753.0
Kunsági,Near term (2021–2040),2021-2040,rcp85,high,3,Merlot,Merlot,red,1.0,0.273,high,huglin,new,2345.0,1753.0
Kunsági,Near term (2021–2040),2021-2040,rcp85,high,4,Tempranillo,Tempranillo,red,1.0,0.455,medium,huglin,new,2345.0,1753.0
Kunsági,≈ +20y (2041–2060),2041-2060,rcp45,moderate,1,Syrah,Syrah,red,0.962,0.416,high,heat,new,2486.0,1894.0
Kunsági,≈ +20y (2041–2060),2041-2060,rcp45,moderate,2,Touriga Nacional,Touriga Nacional,red,0.986,0.441,medium,frost,new,2486.0,1894.0
Kunsági,≈ +20y (2041–2060),2041-2060,rcp45,moderate,3,Tempranillo,Tempranillo,red,0.962,0.416,medium,heat,new,2486.0,1894.0
Kunsági,≈ +20y (2041–2060),2041-2060,rcp45,moderate,4,Aglianico,Aglianico,red,0.962,0.416,medium,heat,new,2486.0,1894.0
Kunsági,≈ +20y (2041–2060),2041-2060,rcp85,high,1,Cabernet sauvignon,Cabernet Sauvignon,red,1.0,0.455,high,huglin,new,2316.0,1787.0
Kunsági,≈ +20y (2041–2060),2041-2060,rcp85,high,2,Syrah,Syrah,red,1.0,0.455,high,huglin,new,2316.0,1787.0
Kunsági,≈ +20y (2041–2060),2041-2060,rcp85,high,3,Merlot,Merlot,red,1.0,0.273,high,huglin,new,2316.0,1787.0
Kunsági,≈ +20y (2041–2060),2041-2060,rcp85,high,4,Tempranillo,Tempranillo,red,1.0,0.455,medium,huglin,new,2316.0,1787.0
Kunsági,≈ +40y (2061–2080),2061-2080,rcp45,moderate,1,Mourvèdre,Mourvèdre / Monastrell,red,1.0,0.96,medium,huglin,new,2546.0,1972.0
Kunsági,≈ +40y (2061–2080),2061-2080,rcp45,moderate,2,Nero d'Avola,Nero d'Avola,red,1.0,0.96,medium,huglin,new,2546.0,1972.0
Kunsági,≈ +40y (2061–2080),2061-2080,rcp45,moderate,3,Garnacha,Grenache,red,1.0,0.778,medium,huglin,new,2546.0,1972.0
Kunsági,≈ +40y (2061–2080),2061-2080,rcp45,moderate,4,Assyrtiko,Assyrtiko,white,1.0,0.636,medium,huglin,new,2546.0,1972.0
Kunsági,≈ +40y (2061–2080),2061-2080,rcp85,high,1,Mourvèdre,Mourvèdre / Monastrell,red,1.0,0.96,medium,huglin,new,2716.0,2187.0
Kunsági,≈ +40y (2061–2080),2061-2080,rcp85,high,2,Nero d'Avola,Nero d'Avola,red,1.0,0.96,medium,huglin,new,2716.0,2187.0
Kunsági,≈ +40y (2061–2080),2061-2080,rcp85,high,3,Garnacha,Grenache,red,1.0,0.778,medium,huglin,new,2716.0,2187.0
Kunsági,≈ +40y (2061–2080),2061-2080,rcp85,high,4,Assyrtiko,Assyrtiko,white,1.0,0.636,medium,huglin,new,2716.0,2187.0
Kunsági,≈ +60y (2081–2100),2081-2100,rcp45,moderate,1,Mourvèdre,Mourvèdre / Monastrell,red,1.0,0.96,medium,huglin,new,2616.0,2019.0
Kunsági,≈ +60y (2081–2100),2081-2100,rcp45,moderate,2,Nero d'Avola,Nero d'Avola,red,1.0,0.96,medium,huglin,new,2616.0,2019.0
